Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Aleksandar Mitrovic,Centre-Forward,23,Newcastle,Premier League,Fulham,Premier League,2018-2019,15000000,20200000
William Carvalho,Defensive Midfield,26,Sporting CP,Liga NOS,Real Betis,LaLiga,2018-2019,25000000,20000000
Rodri,Defensive Midfield,22,Villarreal CF,LaLiga,AtlÃ©tico Madrid,LaLiga,2018-2019,25000000,20000000
Andriy Yarmolenko,Right Winger,28,Bor. Dortmund,1.Bundesliga,West Ham,Premier League,2018-2019,23000000,20000000
Gerard Moreno,Centre-Forward,26,Espanyol,LaLiga,Villarreal CF,LaLiga,2018-2019,20000000,20000000
Nikola Kalinic,Centre-Forward,30,Fiorentina,Serie A,AC Milan,Serie A,2018-2019,14000000,20000000
Thomas Delaney,Central Midfield,26,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2018-2019,12000000,20000000
Rolando Mandragora,Central Midfield,21,Juventus,Serie A,Udinese Calcio,Serie A,2018-2019,10000000,20000000
Terence Kongolo,Centre-Back,24,Monaco,Ligue 1,Huddersfield,Premier League,2018-2019,10000000,20000000
Willem Geubbels,Left Winger,16,Olympique Lyon,Ligue 1,Monaco,Ligue 1,2018-2019,6000000,20000000
Alireza Jahanbakhsh,Right Winger,24,AZ Alkmaar,Eredivisie,Brighton,Premier League,2018-2019,18000000,19000000
Duje Caleta-Car,Centre-Back,21,RB Salzburg,Bundesliga,Marseille,Ligue 1,2018-2019,10000000,19000000
Paulinho,Left Winger,18,Vasco da Gama,SÃ©rie A,Bay. Leverkusen,1.Bundesliga,2018-2019,25000000,18500000
Karl Toko Ekambi,Centre-Forward,25,SCO Angers,Ligue 1,Villarreal CF,LaLiga,2018-2019,18000000,18000000
Mohamed Elyounoussi,Left Winger,23,FC Basel,Super League,Southampton,Premier League,2018-2019,8500000,18000000
Justin Kluivert,Left Winger,19,AFC Ajax,Eredivisie,AS Roma,Serie A,2018-2019,15000000,17250000
DuvÃ¡n Zapata,Centre-Forward,27,SSC Napoli,Serie A,Sampdoria,Serie A,2018-2019,20000000,17000000
Yves Bissouma,Central Midfield,21,LOSC Lille,Ligue 1,Brighton,Premier League,2018-2019,8000000,16900000
Lautaro MartÃ­nez,Centre-Forward,20,Racing Club,Primera DivisiÃ³n,Inter,Serie A,2018-2019,25000000,16000000
Sokratis,Centre-Back,30,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000,16000000
Daley Blind,Left-Back,28,Man Utd,Premier League,AFC Ajax,Eredivisie,2018-2019,18000000,16000000
Nordi Mukiele,Right-Back,20,Montpellier,Ligue 1,RB Leipzig,1.Bundesliga,2018-2019,14000000,16000000
Joris Gnagnon,Centre-Back,21,Stade Rennais,Ligue 1,Sevilla FC,LaLiga,2018-2019,15000000,15000000
JoaquÃ­n Correa,Left Winger,23,Sevilla FC,LaLiga,Lazio,Serie A,2018-2019,10000000,15000000
GrÃ©goire Defrel,Centre-Forward,27,Sassuolo,Serie A,AS Roma,Serie A,2018-2019,10000000,15000000
Mouctar Diakhaby,Centre-Back,21,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,2018-2019,10000000,15000000
Ibrahim Amadou,Defensive Midfield,25,LOSC Lille,Ligue 1,Sevilla FC,LaLiga,2018-2019,3500000,15000000
JoÃ£o Carvalho,Attacking Midfield,21,Benfica,Liga NOS,Nottm Forest,Championship,2018-2019,2500000,15000000
Matheus Cunha,Centre-Forward,19,FC Sion,Super League,RB Leipzig,1.Bundesliga,2018-2019,1500000,15000000
Roger MartÃ­nez,Centre-Forward,24,JS Suning,Super League,Villarreal CF,LaLiga,2018-2019,2500000,14900000
Xherdan Shaqiri,Right Winger,26,Stoke City,Championship,Liverpool,Premier League,2018-2019,18000000,14700000
Rodolfo Pizarro,Attacking Midfield,24,Chivas,Liga MX Apertura,Monterrey,Liga MX Apertura,2018-2019,5500000,14500000
Diogo Jota,Left Winger,21,AtlÃ©tico Madrid,LaLiga,Wolves,Premier League,2018-2019,12000000,14000000
Daniel Ginczek,Centre-Forward,27,VfB Stuttgart,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2018-2019,3500000,14000000
Jean-Eudes Aholou,Defensive Midfield,24,R. Strasbourg,Ligue 1,Monaco,Ligue 1,2018-2019,3000000,14000000
Danny Ward,Goalkeeper,25,Liverpool,Premier League,Leicester,Premier League,2018-2019,2500000,14000000
Davy Klaassen,Attacking Midfield,25,Everton,Premier League,Werder Bremen,1.Bundesliga,2018-2019,15000000,13500000
Benik Afobe,Centre-Forward,25,Wolves,Premier League,Stoke City,Championship,2018-2019,10000000,13500000
Gerard Deulofeu,Right Winger,24,FC Barcelona,LaLiga,Watford,Premier League,2018-2019,14000000,13000000
Mattia Perin,Goalkeeper,25,Genoa,Serie A,Juventus,Serie A,2018-2019,16000000,12000000
Mitchell Weiser,Right-Back,24,Hertha BSC,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2018-2019,12000000,12000000
M'Baye Niang,Centre-Forward,23,AC Milan,Serie A,Torino,Serie A,2018-2019,10000000,12000000
Mikel Merino,Defensive Midfield,22,Newcastle,Premier League,Real Sociedad,LaLiga,2018-2019,10000000,12000000
Willy Boly,Centre-Back,27,FC Porto,Liga NOS,Wolves,Premier League,2018-2019,5000000,12000000
Marcelo Saracchi,Left-Back,20,River Plate,Primera DivisiÃ³n,RB Leipzig,1.Bundesliga,2018-2019,4500000,12000000
Diego Rico,Left-Back,25,CD LeganÃ©s,LaLiga,Bournemouth,Premier League,2018-2019,2500000,12000000
